DATE,TRFVOLUSM227NFWA
2014-06-01,263459.0
2014-07-01,270053.0
2014-08-01,268831.0
2014-09-01,247688.0
2014-10-01,265144.0
2014-11-01,241451.0
2014-12-01,252271.0
2015-01-01,233498.0
2015-02-01,217220.0
2015-03-01,258017.0
2015-04-01,262817.0
2015-05-01,270839.0
2015-06-01,270574.0
2015-07-01,278372.0
2015-08-01,272209.0
2015-09-01,255090.0
2015-10-01,268469.0
2015-11-01,248843.0
2015-12-01,259424.0
2016-01-01,239679.0
2016-02-01,223011.0
2016-03-01,265147.0
2016-04-01,269653.0
2016-05-01,277972.0
2016-06-01,276991.0
2016-07-01,285160.0
2016-08-01,279213.0
2016-09-01,262039.0
2016-10-01,275610.0
2016-11-01,255154.0
2016-12-01,264778.0
2017-01-01,242600.0
2017-02-01,225644.0
2017-03-01,268343.0
2017-04-01,272864.0
2017-05-01,281264.0
2017-06-01,280290.0
2017-07-01,288566.0
2017-08-01,282558.0
2017-09-01,265212.0
2017-10-01,278888.0
2017-11-01,258159.0
2017-12-01,267958.0
2018-01-01,244736.0
2018-02-01,227759.0
2018-03-01,270705.0
2018-04-01,275127.0
2018-05-01,283713.0
2018-06-01,282648.0
2018-07-01,290989.0
2018-08-01,284989.0
2018-09-01,267434.0
2018-10-01,281382.0
2018-11-01,260473.0
2018-12-01,270370.0
2019-01-01,246517.0
2019-02-01,229346.0
2019-03-01,272537.0
2019-04-01,276976.0
2019-05-01,285544.0
2019-06-01,284145.0
2019-07-01,292910.0
2019-08-01,286532.0
2019-09-01,269038.0
